figure,series,sf,version,name,rep,seconds,rows
fig1_11,duckdb_warm,1,v0.8.0,Q4.1,2,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,1,v0.8.0,Q4.1,3,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,1,v0.8.0,Q4.2,1,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,1,v0.8.0,Q4.2,2,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,1,v0.8.0,Q4.2,3,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,1,v0.8.0,Q4.3,1,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,1,v0.8.0,Q4.3,2,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,1,v0.8.0,Q4.3,3,,ERROR_BIGINT_TO_DATE
fig7_10,duckdb_latencies,1,v1.1.3,customer,1,0.391,
fig7_10,duckdb_latencies,1,v1.1.3,customer,2,0.405,
fig7_10,duckdb_latencies,1,v1.1.3,customer,3,0.388,
fig7_10,duckdb_latencies,1,v1.1.3,part,1,1.037,
fig7_10,duckdb_latencies,1,v1.1.3,part,2,1.021,
fig7_10,duckdb_latencies,1,v1.1.3,part,3,1.034,
fig7_10,duckdb_latencies,1,v1.1.3,supplier,1,0.349,
fig7_10,duckdb_latencies,1,v1.1.3,supplier,2,0.346,
fig7_10,duckdb_latencies,1,v1.1.3,supplier,3,0.354,
fig7_10,duckdb_latencies,1,v1.1.3,date,1,,ERROR_BIGINT_TO_DATE
fig7_10,duckdb_latencies,1,v1.1.3,date,2,,ERROR_BIGINT_TO_DATE
fig7_10,duckdb_latencies,1,v1.1.3,date,3,,ERROR_BIGINT_TO_DATE
fig8,duckdb_ms,1,v1.1.3,selfjoin_orderkey,1,0.126,30012723
fig8,duckdb_ms,1,v1.1.3,selfjoin_orderkey,2,0.127,30012723
fig8,duckdb_ms,1,v1.1.3,selfjoin_orderkey,3,0.133,30012723
fig9,duckdb_distinct,1,v1.1.3,distinct_orderkey,1,0.059,
fig9,duckdb_distinct,1,v1.1.3,distinct_orderkey,2,0.044,
fig9,duckdb_distinct,1,v1.1.3,distinct_orderkey,3,0.044,
fig9,duckdb_where,1,v1.1.3,where_linenumber_3,1,0.150,
fig9,duckdb_where,1,v1.1.3,where_linenumber_3,2,0.155,
fig9,duckdb_where,1,v1.1.3,where_linenumber_3,3,0.151,
fig1_11,duckdb_cold,1,v1.1.3,Q1.1,1,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_cold,1,v1.1.3,Q1.1,2,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_cold,1,v1.1.3,Q1.1,3,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_cold,1,v1.1.3,Q1.2,1,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_cold,1,v1.1.3,Q1.2,2,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_cold,1,v1.1.3,Q1.2,3,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_cold,1,v1.1.3,Q1.3,1,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_cold,1,v1.1.3,Q1.3,2,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_cold,1,v1.1.3,Q1.3,3,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_cold,1,v1.1.3,Q2.1,1,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_cold,1,v1.1.3,Q2.1,2,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_cold,1,v1.1.3,Q2.1,3,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_cold,1,v1.1.3,Q2.2,1,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_cold,1,v1.1.3,Q2.2,2,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_cold,1,v1.1.3,Q2.2,3,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_cold,1,v1.1.3,Q2.3,1,,ERROR_BIGINT_TO_DATE
